OSEBuildingID,Buildingtype,Primarypropertytype,Neighborhood,Propertygfaparking,Propertygfabuilding(S),Largestpropertyusetype,Largestpropertyusetypegfa,Energystarscore,Sourceeui(Kbtu/Sf),Steamuse(Kbtu),Ghgemissionsintensity,Latitude,Longitude,BuiltAge,avg_building,avg_floor,Allpropertynumber,log_Siteenergyuse,log_Totalghgemissions
1,NonResidential,Hotel,DOWNTOWN,0,88434,Hotel,88434.0,65.0,173.5,2023032.0,2.64,47.61219025,-122.33799744,88,88434.0,88434.0,1,15.758764038341216,5.519178314704694
2,NonResidential,Hotel,DOWNTOWN,15064,88502,Hotel,83880.0,51.0,191.3,0.0,2.38,47.61310583,-122.33335756,19,103566.0,103566.0,3,15.938279153880622,5.574091317925445
3,NonResidential,Hotel,DOWNTOWN,0,961990,Hotel,757243.0,18.0,242.7,19660404.0,1.92,47.61334897,-122.33769944,46,961990.0,961990.0,3,18.107758207533717,7.631179450426354
5,NonResidential,Hotel,DOWNTOWN,0,61320,Hotel,61320.0,1.0,636.3,23458518.0,31.38,47.61421585,-122.33660889,89,61320.0,61320.0,1,17.15587171208975,7.568554872251875
8,NonResidential,Hotel,DOWNTOWN,12460,107430,Hotel,123445.0,67.0,228.8,0.0,4.02,47.6137544,-122.3409238,35,119890.0,119890.0,3,16.51210195704255,6.229890721953349
10,NonResidential,Hotel,DOWNTOWN,0,83008,Hotel,81352.0,25.0,149.5,0.0,2.37,47.6141141,-122.33274086,89,83008.0,83008.0,1,15.648546638358775,5.339747176311176
12,NonResidential,Hotel,DOWNTOWN,0,163984,Hotel,163984.0,46.0,174.6,0.0,1.83,47.60258934,-122.33255325,111,163984.0,163984.0,1,16.351881887452524,5.803959579621873
13,Residential,Mid-Rise Multifamily,DOWNTOWN,1496,62216,Multifamily Housing,56132.0,2.0,178.1,1483476.0,2.51,47.60278416,-122.33214887,105,63712.0,63712.0,1,15.338787132023532,5.135798437050262
15,NonResidential,Hotel,DOWNTOWN,19279,133884,Not available,0.0,48.0,200.8,3623542.0,3.59,47.60712147,-122.33431932,46,153163.0,153163.0,1,16.504707684802096,6.357200812987149
16,NonResidential,Hotel,DOWNTOWN,61161,272015,Hotel,336640.0,32.0,207.2,5426396.0,1.93,47.60718204,-122.33347215,17,333176.0,333176.0,1,17.137557439373012,6.5839623195179975
17,NonResidential,Hotel,DOWNTOWN,0,65009,Hotel,65009.0,39.0,166.5,1987163.0,5.04,47.60709939,-122.33310536,87,65009.0,65009.0,1,15.733495399898148,5.813742396808923
18,NonResidential,Hotel,DOWNTOWN,57600,258352,Hotel,295511.0,56.0,183.2,4731090.0,1.95,47.60809326,-122.33211517,35,315952.0,315952.0,2,16.942783681827287,6.515216267760106
19,NonResidential,Hotel,DOWNTOWN,0,67390,Not available,0.0,14.0,317.4,4403788.0,6.95,47.60761642,-122.3323288,93,67390.0,67390.0,1,16.186823914106238,6.1867228949326565
23,NonResidential,Hotel,DOWNTOWN,85000,331281,Hotel,348329.0,30.0,231.9,0.0,1.59,47.60656003,-122.33063632,32,416281.0,416281.0,2,17.32018221745566,6.626876677016689
25,NonResidential,Hotel,DOWNTOWN,0,104352,Not available,0.0,83.0,119.5,3205497.0,3.87,47.60397899,-122.3320576,99,104352.0,104352.0,1,15.875401220656666,6.019128351090456
26,NonResidential,Other,DOWNTOWN,0,540360,Courthouse,537150.0,67.0,208.5,0.0,2.74,47.60264587,-122.33052826,99,540360.0,540360.0,1,17.79205923444743,7.375305902066806
28,Education,K-12 School,SOUTHEAST,0,56228,K-12 School,58320.0,96.0,59.2,0.0,0.56,47.54570136,-122.2685843,54,56228.0,56228.0,1,14.189981607676698,3.5601934464858913
29,NonResidential,Hotel,NORTHEAST,30586,58006,Hotel,58006.0,85.0,151.5,0.0,1.04,47.65953281,-122.3173925,14,88592.0,88592.0,2,15.171553421984923,4.6257568195964796
33,NonResidential,Hotel,DOWNTOWN,38281,133585,Hotel,128909.0,20.0,183.3,0.0,1.72,47.61806905,-122.33005445,14,171866.0,171866.0,1,16.215852380971054,5.767476889636389
35,NonResidential,Hotel,DOWNTOWN,16200,52210,Hotel,47994.0,60.0,194.1,0.0,1.69,47.61587049,-122.34197968,37,68410.0,68410.0,1,15.283777916395518,4.8328633720008725
36,Education,K-12 School,NORTH,0,160645,K-12 School,164229.0,80.0,62.6,0.0,1.58,47.71011498,-122.29379175,66,160645.0,160645.0,1,15.669886389665999,5.562103696324263
40,NonResidential,Hotel,NORTHEAST,0,81871,Hotel,81871.0,20.0,178.5,0.0,2.8,47.66585193,-122.29889419,21,81871.0,81871.0,1,15.819657943482992,5.494582919054
41,NonResidential,"Self-Storage Facility
",NORTHEAST,0,126394,Self-Storage Facility,26225.0,77.0,34.0,0.0,0.02,47.66270326,-122.29612323,60,126394.0,126394.0,1,12.633693818576713,1.3110318766193438
46,NonResidential,Distribution Center,GREATER DUWAMISH,0,714095,Not available,0.0,1.0,210.0,0.0,0.18,47.5106034,-122.29027588,54,714095.0,714095.0,1,17.6834540188126,5.809762798193433
50,Education,K-12 School,MAGNOLIA / QUEEN ANNE,0,54986,K-12 School,54986.0,91.0,80.3,0.0,0.42,47.65726207,-122.39065097,25,54986.0,54986.0,1,14.319681286958014,3.359680701459222
51,Education,K-12 School,NORTHEAST,0,175565,K-12 School,182861.0,88.0,53.6,0.0,1.44,47.68245037,-122.2939354,65,175565.0,175565.0,1,15.644472519209314,5.555553118030016
52,NonResidential,Small- and Mid-Sized Office,BALLARD,0,94900,Office,55586.0,57.0,161.3,0.0,1.1,47.66580963,-122.3860321,54,94900.0,94900.0,2,15.614552280437694,4.812834550453841
53,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,0,52554,Office,51029.0,93.0,81.6,0.0,0.98,47.58002948,-122.31181286,115,52554.0,52554.0,2,14.575234493551106,4.042524813492304
54,NonResidential,K-12 School,NORTHWEST,0,175015,K-12 School,175015.0,95.0,74.6,0.0,1.37,47.68894837,-122.33616192,61,175015.0,175015.0,1,15.772801132197682,5.528317358658732
56,NonResidential,Hotel,DOWNTOWN,205970,126240,Hotel,348630.0,68.0,121.0,0.0,0.63,47.60950466,-122.3334029,46,332210.0,332210.0,1,16.566660349893997,5.575380759851677
57,NonResidential,Large Office,DOWNTOWN,0,168115,Office,103501.0,79.0,170.7,0.0,0.15,47.61103976,-122.3363484,42,168115.0,168115.0,3,16.036217367980072,4.162470391269701
61,Residential,Low-Rise Multifamily,DOWNTOWN,0,48383,Multifamily Housing,38172.0,75.0,129.6,915977.0,2.19,47.60973588,-122.3403842,115,48383.0,48383.0,2,14.898446614047346,4.719034442137138
62,NonResidential,Hotel,DOWNTOWN,10043,88591,Hotel,83591.0,46.0,201.1,0.0,0.55,47.61229324,-122.33441925,85,98634.0,98634.0,3,15.636150929808922,4.354141431184346
63,NonResidential,Hotel,DOWNTOWN,146694,847518,Hotel,994212.0,60.0,187.3,16229832.0,2.67,47.61101988,-122.3335344,33,994212.0,994212.0,3,18.262364172167604,7.953694374271427
65,NonResidential,Hotel,DOWNTOWN,0,71150,Hotel,41340.0,99.0,203.3,0.0,1.6,47.60989093,-122.3414255,30,71150.0,71150.0,4,15.432992430826152,4.842847607079338
66,NonResidential,Hotel,DOWNTOWN,0,122810,Hotel,88360.0,99.0,65.7,0.0,1.66,47.61155254,-122.3408486,107,122810.0,122810.0,3,15.442171892048497,5.346726505755724
67,NonResidential,Hotel,LAKE UNION,42546,70627,Not available,0.0,86.0,166.6,0.0,0.95,47.62037281,-122.3441465,56,113173.0,113173.0,1,15.422593900573185,4.793556647344296
68,NonResidential,Hotel,LAKE UNION,34735,115718,Hotel,107547.0,83.0,131.7,0.0,1.17,47.6203118,-122.3428044,15,150453.0,150453.0,2,15.721028084591655,5.255305475954746
69,NonResidential,Hotel,LAKE UNION,28200,88100,Hotel,88490.0,84.0,147.8,0.0,1.34,47.62021696,-122.3432115,18,116300.0,116300.0,2,15.609613612183784,5.135857258849637
70,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,36744,118858,Hotel,155602.0,81.0,108.0,0.0,0.88,47.62050588,-122.3596901,17,155602.0,155602.0,1,15.749245893839163,5.053630924557352
73,NonResidential,K-12 School,EAST,0,56072,K-12 School,56072.0,77.0,78.7,0.0,2.45,47.63445532,-122.3080163,104,56072.0,56072.0,1,14.949145658349902,4.938924446542256
77,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,44891,78051,Hotel,78051.0,94.0,135.3,0.0,1.29,47.62498256,-122.3445605,16,122942.0,122942.0,2,15.478826052635673,5.1327939280299635
82,NonResidential,Small- and Mid-Sized Office,CENTRAL,0,54984,Office,54984.0,65.0,149.8,0.0,1.38,47.60841187,-122.3095441,53,54984.0,54984.0,1,15.06968881018727,4.448633328167864
84,NonResidential,Senior Care Community,SOUTHWEST,0,217603,Senior Care Community,296313.0,50.0,246.4,0.0,8.3,47.55837362,-122.378518,93,217603.0,217603.0,2,17.633098128886846,7.527707916239025
85,NonResidential,Senior Care Community,NORTHWEST,0,93397,Senior Care Community,93397.0,1.0,313.8,0.0,6.18,47.72389349,-122.3562998,45,93397.0,93397.0,1,16.611068701635904,6.400257445308821
86,NonResidential,Hotel,LAKE UNION,20732,63371,Hotel,63371.0,68.0,164.1,0.0,0.73,47.61990903,-122.3320457,7,84103.0,84103.0,2,15.196574263023178,4.304605487705297
89,NonResidential,Medical Office,EAST,0,179014,Medical Office,179014.0,48.0,221.6,0.0,2.92,47.61249662,-122.3213373,50,179014.0,179014.0,1,16.753018626395097,6.334664104478621
95,NonResidential,Hotel,EAST,0,76631,Hotel,76631.0,24.0,175.0,0.0,3.18,47.60895788,-122.3268374,107,76631.0,76631.0,1,15.794016225252378,5.543770204782081
98,NonResidential,Retail Store,LAKE UNION,0,58320,Retail Store,72072.0,95.0,26.6,0.0,0.65,47.622375,-122.33805,86,58320.0,58320.0,1,13.887068137773374,3.681099266794974
100,NonResidential,Large Office,LAKE UNION,0,316306,Office,261826.0,96.0,139.3,0.0,0.24,47.62428336,-122.33589247,5,316306.0,316306.0,4,16.40333917757253,4.875426304616494
102,NonResidential,Hotel,LAKE UNION,44766,238097,Hotel,235788.0,40.0,178.1,0.0,1.64,47.6263594,-122.333131,25,282863.0,282863.0,2,16.750916015353326,6.232801588614156
107,NonResidential,Large Office,LAKE UNION,0,571329,Office,598801.0,89.0,184.6,0.0,0.86,47.62099765,-122.33592466,5,571329.0,571329.0,3,17.546845296054776,6.456706859252007
114,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,303707,616891,Office,729584.0,93.0,133.3,0.0,0.56,47.62334946,-122.344706,5,920598.0,920598.0,3,17.417774593050517,6.452096271929723
115,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,25930,50283,Office,48546.0,72.0,183.3,0.0,0.44,47.62038448,-122.3584269,45,76213.0,76213.0,3,15.010509113913512,3.8249388985210326
116,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,36934,80804,Hotel,59976.0,52.0,186.9,0.0,1.07,47.62294488,-122.3571048,13,117738.0,117738.0,2,15.437128788228849,4.932169120816822
117,NonResidential,Hotel,NORTHEAST,0,50017,Hotel,50017.0,51.0,207.1,0.0,3.74,47.65774638,-122.3175345,53,50017.0,50017.0,2,15.532990347990104,5.2798478502643755
119,NonResidential,K-12 School,EAST,0,67743,K-12 School,67743.0,43.0,74.7,0.0,0.86,47.6262348,-122.3081985,92,67743.0,67743.0,1,14.649848225261218,4.158101528024852
120,NonResidential,K-12 School,EAST,0,194104,K-12 School,194104.0,100.0,51.2,0.0,1.15,47.62595722,-122.304164,107,194104.0,194104.0,1,15.58874652147123,5.437992348620519
121,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,35752,63681,Office,63681.0,71.0,218.9,0.0,0.12,47.58406769,-122.3012707,12,99433.0,99433.0,2,15.305947343169583,3.432372999130605
